                   ,WHO Region,WHO Region.1,LF DALYs,SCHIST DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,ONCH DALYs,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,ONCH Treatment Coverage,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Schist Efficay,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,ONCH Efficacy,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of  LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84,Impact of Onch
,,,Total DALYs,Total DALYs,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Total DALYs,Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,Estimated STH Pre-SAC Treatment Coverage,STH SAC Treatment Coverage,Estimated STH SAC Treatment Coverage,Number of People Needing Treatment for ONCH,Number of People Treated for ONCH,ONCH Treatment Coverage,Estimated ONCH Treatment Coverage,LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,ONCH,*Single Dose of DEC (6mg/kg) (Updated),Estimated Efficacy,*Single dose of DEC (6mg/kg)+ALB(4a00mg) (Updated),Estimated Efficacy,*Combination of ALB(400mg)+IVM(400ug/kg) (Updated),Estimated Efficay,PZQ,,Alb,,Mbd,,Ivm+Alb,,ALB,,Mbd,,Alb,,Mbd,,Ivm+Alb,,IVM,IVM,LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases Targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB,IVM
Czech Republic,EUR,"10,546,059",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Democratic People's Republic of Korea,SEA,"25,243,917",0.0,0.0,,,,3.2,71.6,898.8,0.0,86.9,472.6,0,,,,72.21%,,28.06%,99.56%,99.56%,99.02%,99.02%,,,,71.92%,,,,,3.03%,13.46%,17.12%,17.75%,21.49%,13.69%,,47.82%,,58.32%,,14.00%,,94.9%,,53.94%,,37.87%,,59.76%,,71.33%,,20.50%,,83.00%,,100.00%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Democratic Republic of the Congo,AFR,"76,196,619",24700.5,150329.9,562.4,2688.6,8017.4,4447.8,16261.7,52645.3,30133.6,10756.6,49812.5,664566.7,"64,137","30,372,985",71.24%,71.24%,57.77%,57.77%,91.78%,91.78%,67.44%,67.44%,"46,447,852.00","35,695,074.00",76.85%,76.85%,0.76%,20.83%,3.60%,6.71%,22.17%,,,,,,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,1,1111,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist+sth,,49.66072526,148088.361,226.9134216,,306.9236592,0,,0.00,,0.00,0
Denmark,EUR,"5,683,483",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Djibouti,EMR,"927,414",0.0,82.7,0.0,0.0,0.0,3.1,4.4,26.9,9.0,1.8,11.7,0,,,,14.95%,,65.90%,,97.54%,,41.45%,,,,45.86%,0.00%,0.12%,0.01%,1.84%,6.20%,1.17%,1.52%,4.09%,5.03%,0.00%,,37.13%,,79.35%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,95.50%,,100.00%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Dominica,AMR,"73,162",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.1,0.0,0.1,0,,,,64.51%,,0.25%,,56.88%,,58.26%,,,,75.74%,0.00%,0.00%,0.00%,1.49%,4.73%,0.85%,1.03%,1.91%,2.19%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Dominican Republic,AMR,"10,528,394",83.4,617.1,0.0,0.0,0.0,3.7,19.8,142.3,12.5,5.2,21.7,0.00E+00,"4,276","56,985",81.74%,81.74%,,0.25%,16.94%,16.94%,80.25%,80.25%,,,,75.74%,0.04%,0.55%,0.02%,1.89%,5.99%,0.71%,0.85%,6.69%,7.65%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,1,0,0,0,1000,MDA1/2,IVM+ALB or DEC+ALB,,lf only,0.01404940219,0.05780939578,,,,,,,,,,
Ecuador,AMR,"16,144,368",0.0,0.0,36.4,178.6,1216.5,9.6,26.8,205.3,483.6,549.0,2666.2,0.00E+00,,,,64.51%,,0.25%,,56.88%,,58.26%, ,,,75.74%,0.00%,0.00%,0.00%,3.17%,9.69%,0.49%,0.57%,10.58%,11.82%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,1,0,0010,T2,PZQ,PZQ,schist only,,,0.0,,,,,,,,,
Egypt,EMR,"93,778,172",0.0,28724.9,0.6,4.0,25.2,117.9,339.0,1737.2,330.7,522.7,1417.3,0,51859.9967, , , ,95.58%,95.58%,,97.54%,,41.45%,,,,45.86%,0.55%,1.41%,0.10%,1.02%,3.28%,0.30%,0.37%,4.56%,5.37%,0.00%,,37.13%,79.35%,79.35%,,37.15%,,88.20%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,95.50%,,100.00%,,84.80%,,78.08%,0,1,1,0,0110,MDA3+T2,IVM,PZQ,onch+schist,,,154254.428,,,,,,,,,0
El Salvador,AMR,"6,312,478",0.0,0.0,1.3,0.1,57.3,19.9,43.3,542.5,7.0,4.6,34.1,0,,,,64.51%,,0.25%,,56.88%,72.01%,72.01%,,,,75.74%,0.00%,0.00%,0.00%,2.43%,7.55%,2.21%,2.62%,5.83%,6.56%,0.00%,,25.90%,,34.65%,,75.75%,,92.0%,,39.45%,,60.00%,,79.60%,,86.90%,,17.20%,,98.62%,,76.90%,,100.00%,,37.34%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Equatorial Guinea,AFR,"1,175,389",1728.4,442.3,1.3,8.6,24.8,12.0,49.6,245.5,140.4,200.7,467.6,2312,"31,234", , , , , ,,76.05%,,68.22%,"98,797.00", ,,65.07%,2.40%,4.04%,0.67%,1.67%,5.51%,1.51%,1.91%,2.97%,3.57%,2.92%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,,,,,,,,,,,2.705721224
Eritrea,AFR,,117.7,4016.7,0.0,0.1,0.2,142.8,393.2,1490.8,93.5,13.0,111.7,0,"6,927","55,525",76.06%,76.06%,61.21%,61.21%,,76.05%,,68.22%,,,,65.07%,0.12%,5.99%,0.64%,1.82%,5.98%,10.40%,13.10%,1.88%,2.25%,0.00%,,31.23%,,40.00%,,29.43%,,85.9%,,38.16%,,48.59%,,47.18%,,86.99%,,70.92%,,90.67%,,84.83%,,69.60%,,83.90%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0.04135553538,4453.668,,,,,,,,,0
Estonia,EUR,"1,315,407",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,66.49%,,53.02%,,FALSE,,63.17%,,,,71.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,37.13%,,51.44%,,37.15%,,90.6%,,41.44%,,46.92%,,59.76%,,76.14%,,43.62%,,92.16%,,88.66%,,84.80%,,78.08%,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,,
Ethiopia,AFR,"99,873,033",680.3,178312.1,193.6,1256.1,5707.6,7493.0,23207.5,85207.1,13256.3,4468.7,22356.9,40558.5,"22,62","4,236,666",75.20%,75.20%,47.30%,47.30%,83.98%,83.98%,74.83%,74.83%,"17,506,842.00","14,173,602.00",80.96%,80.96%,0.02%,20.69%,3.46%,2.26%,7.47%,17.05%,22.06%,3.77%,4.58%,0.58%,,31.23%,,40.00%,,29.43%,,97%,17.10%,17.10%,43.70%,43.70%,,47.18%,,86.99%,,70.92%,88.20%,88.20%,93.33%,93.33%,,69.60%,81.00%,81.00%,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0.04278112046,151169.413,,,,,,,,,15.005745
Fiji,WPR,"892,149",216.0,0.0,4.2,35.4,279.4,2.4,10.1,58.3,14.0,16.4,65.5,0,"3,171","68,072",86.32%,86.32%,,78.35%,7.02%,7.02%,7.68%,7.68%,,,,71.92%,0.36%,0.00%,0.00%,3.16%,10.30%,1.11%,1.39%,4.47%,5.33%,0.00%,,50.00%,,66.20%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,57.69%,,31.45%,,96.93%,,93.05%,,84.80%,,78.08%,1,0,0,0,1000,MDA1/2,IVM+ALB or DEC+ALB,,lf only,1.041038457,0.3686035085,,,,,,,,,,
