Country,WHO Region,Population,LF DALYs,Schist DALYs,Whipworm DALYs,Unnamed: 6,Unnamed: 7,Hookworm DALYs,Unnamed: 9,Unnamed: 10,Roundworm DALYs,Unnamed: 12,Unnamed: 13,Unnamed: 14,LF Treatment Coverage,Unnamed: 16,Unnamed: 17,Unnamed: 18,SCHIST Treatment Coverage,Unnamed: 20,STH,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Prevalence (%),Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,LF Efficacy,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,SCHIST Efficacy,Unnamed: 46,Whipworm Efficacy,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Hookworm Efficacy,Unnamed: 54,Unnamed: 55,Unnamed: 56,Roundworm Efficacy,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Treatment Guidelines,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Impact of LF,Unnamed: 75,Impact of Schist,Impact of Whipworm,Unnamed: 78,Unnamed: 79,Impact of Hookworm,Unnamed: 81,Impact of Roundworm,Unnamed: 83,Unnamed: 84
,,,Total,Total DALYs,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,Under 5 Years,5-14 Years,Total,"Input to make model identical to 2013, 2015",Prevalence,Number Treated,LF Treatment Coverage,Estimated LF Treatment Coverage,SCHIST Treatment Coverage,Estimated Schist Treatment Coverage,STH Pre-SAC Treatment Coverage,14842.84%,STH SAC Treatment Coverage,10631.67%,"Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015",LF,SCHIST All Ages,SCHIST SAC,Whipworm,Whipworm,Hookworm,Hookworm,Roundworm,Roundworm,"This col was input to make placement of data identical to 2013, 2015 for SA",Single Dose of DEC (6mg/kg),Estimated Efficacy,Single dose of DEC (6mg/kg) + ALB(400mg),Estimated Efficacy,Combination of ALB (400mg) +IVM (400ug/kg),Estimated Efficacy,PZQ,,Alb,,Mbd,,Ivm+Alb,,Alb,,Mbd,,Alb,,Mbd,,Ivm+Alb,,"Input to make model identical to 2013, 2015","Input to make model identical to 2013, 2015",LF,ONCH,SCHIST,STH Level,Coding,MDA type,Treatment Part 1,Treatment Part 2,Diseases targeted by the MDA,DEC+ALB,IVM+ALB,PZQ,ALB,MBD,IVM+ALB,ALB,MBD,ALB,MBD,IVM+ALB
Japan,WPR,"128,070,000",0.00,52.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,,,,,19.55%,,62.60%,,55.18%,,48.26%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Jordan,EMR,"7,182,390",0.00,185.53,0.748247859,3.726847945,4.475095804,19.7323982,55.96,75.69357641,96.96126009,225.1172771,322.0785372,,,,,32.11%,,59.49%,,90.19%,,9.40%,,,,,0.00%,0.00%,0.02%,3.63%,5.53%,1.07%,1.63%,13.00%,19.25%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,93.08%,,51.15%,,95.50%,,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Kazakhstan,EUR,"16,321,581",0.00,0.00,0,0,0,0.09876956,0.12209762,0.22,478.36,866.15,1344.504716,,,,,40.13%,15.52%,15.52%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,30.37%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Kenya,AFR,"41,350,152",778.43,"63,380.62",27.99912957,120.1869682,148.19,694.64,"1,894.08",2588.718329,2536.905129,592.0052251,"3,129",,"3,031,878",,0.00%,17.16%,,25.20%,,72.67%,0.43%,0.43%,,,,,0.06%,17.00%,5.52%,0.00%,4.49%,0.00%,5.50%,4.00%,6.03%,,51.85%,51.85%,53.70%,53.70%,,29.43%,,93%,,35.38%,,59.18%,,70.60%,82.11%,82.11%,,70.92%,75.80%,75.80%,85.50%,85.50%,,100.00%,,,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0.0248496455,19400.609,,,,,,,,
Kiribati,WPR,"102,652",0.00,0.00,0.077483266,0.724006471,0.801489737,2.34716916,7.33544444,9.682613602,0.807784608,0.164026116,1,,"93,236","34,632",37.14%,37.14%,,62.60%,39.42%,39.42%,52.56%,52.56%,,,,,0.00%,0.00%,0.00%,0.00%,5.48%,0.00%,7.98%,0.00%,0.00%,,,38.00%,,65.70%,,37.15%,,94.9%,,35.72%,,41.55%,,65.10%,,68.82%,,46.05%,,96.93%,,93.05%,,100.00%,,,1,0,0,0,1000,MDA1/2,DEC+ALB,,lf only,0,,,,,,,,,,
Kuwait,EMR,"2,998,083",0.00,0.00,0,0,0,0,0,0,0,0,0,,,,,32.11%,,59.49%,,90.19%,,9.40%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,93.08%,,51.15%,,95.50%,,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Kyrgyzstan,EUR,"5,447,900",0.00,0.00,0,0,0,0.02938392,0.03560246,0.064986373,186.4027884,451.4199033,637.8226917,,,,,40.13%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21.00%,30.78%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Lao People's Democratic Republic,WPR,"6,246,274",276.75,"2,469.84",248.255461,199.5395906,447.7950516,0,0,764.6576146,4348.983645,1112.497583,"5,461",,"123,779","86,153",69.60%,69.60%,,62.60%,83.11%,83.11%,59.96%,59.96%,,,,,0.10%,4.00%,0.64%,0.00%,14.95%,0.00%,8.80%,21.00%,12.98%,,,38.00%,,65.70%,,37.15%,,94.9%,33.30%,33.30%,27.90%,27.90%,,65.10%,36.00%,36.00%,17.60%,17.60%,,96.93%,,93.05%,,100.00%,,,1,1,1,0,1110,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist ,,0.09652788092,3614.619,,,,,,,,
Latvia,EUR,"2,097,555",0.00,0.00,0,0,0,0,0,0,0.04643424,0.033011242,0.079445482,,,,,40.13%,,34.68%,,100.00%,,71.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,51.37%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,79.24%,,51.15%,,94.03%,,92.29%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Lebanon,EMR,"4,337,141",0.00,1.21,0,0,0,0.01394155,0.02030465,0.034246196,0.199338283,0.184784212,0.384122496,,,,,32.11%,,59.49%,,90.19%,,9.40%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,35.74%,,79.35%,,37.15%,,90.6%,,38.43%,,51.22%,,71.77%,,93.08%,,51.15%,,95.50%,,100.00%,,100.00%,,,0,0,0,0,0000,no action required,,,none,,,,,,,,,,,
Lesotho,AFR,"2,040,551",0.00,0.00,147.5815802,823.0253481,970.6069282,110.641798,387.742185,498.3839832,99.38662148,101.5977957,200.9844172,,,,,17.16%,28.96%,28.96%,97.43%,97.43%,,43.42%,,,,,0.00%,0.00%,0.00%,0.00%,51.65%,0.00%,19.02%,13.00%,21.04%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,0,0,0,1,0001,T3,ALB or MBD,,sth only,,,,77.16035552,147.0110797,,40.26293643,32.82421047,82.47135801,126.3627193,
Liberia,AFR,"3,948,125","12,070.71","12,686.83",24.77353656,103.6939458,128.4674823,468.562048,"1,324.56",1793.120822,1912.300626,471.7049805,"2,384",,"3,600,000",,0.00%,17.16%,,25.20%,100.00%,100.00%,2.39%,2.39%,,,,,9.05%,36.00%,11.63%,0.00%,20.49%,0.00%,26.99%,0.00%,18.25%,,,31.23%,,40.00%,,29.43%,,85.9%,,35.38%,,59.18%,,70.60%,,81.32%,,70.92%,,86.57%,,92.03%,,100.00%,,,1,1,1,1,1111,MDA1+T2,IVM+ALB,PZQ,lf+onch+schist+sth,,58.12068904,3505.017,0.1812046268,,0.3646510881,7.085074823,,1.818800443,,
